,Data_Source,Camera_Count,geometry,x,y
2970,Amnesty,2,POINT (-73.93055610263443 40.63501181580773),-73.93055610263443,40.63501181580773
2971,Amnesty,3,POINT (-73.92421359620198 40.7073548577794),-73.92421359620198,40.7073548577794
2972,Amnesty,1,POINT (-73.92837263749033 40.66140067100962),-73.92837263749033,40.66140067100962
2973,Amnesty,3,POINT (-73.947614395499 40.72017683642241),-73.947614395499,40.72017683642241
2974,Amnesty,2,POINT (-73.962561476649 40.70530112114806),-73.962561476649,40.70530112114806
2975,Amnesty,1,POINT (-73.92189937475112 40.65475197311374),-73.92189937475112,40.65475197311374
2976,Amnesty,4,POINT (-73.99456261637243 40.660214349445035),-73.99456261637243,40.660214349445035
2977,Amnesty,1,POINT (-73.97992991111877 40.68181171364042),-73.97992991111877,40.68181171364042
2978,Amnesty,1,POINT (-73.96156428124914 40.636308284774415),-73.96156428124914,40.636308284774415
2979,Amnesty,1,POINT (-73.92860595140084 40.68049667431073),-73.92860595140084,40.68049667431073
2980,Amnesty,1,POINT (-73.98139385954043 40.67110413455774),-73.98139385954043,40.67110413455774
2981,Amnesty,1,POINT (-73.9296452120462 40.590442602937244),-73.9296452120462,40.590442602937244
2982,Amnesty,1,POINT (-73.95745849753455 40.59440742087165),-73.95745849753455,40.59440742087165
2983,Amnesty,1,POINT (-73.93324829527256 40.58594781612678),-73.93324829527256,40.58594781612678
2984,Amnesty,1,POINT (-73.96306487047987 40.60772682267248),-73.96306487047987,40.60772682267248
2985,Amnesty,5,POINT (-73.89559631857108 40.662927789215615),-73.89559631857108,40.662927789215615
2986,Amnesty,2,POINT (-73.94633145662104 40.62926662443973),-73.94633145662104,40.62926662443973
2987,Amnesty,2,POINT (-73.90900349283082 40.659364574711304),-73.90900349283082,40.659364574711304
2988,Amnesty,1,POINT (-73.96187647619877 40.71596460620648),-73.96187647619877,40.71596460620648
2989,Amnesty,1,POINT (-73.98268929887158 40.68844704175014),-73.98268929887158,40.68844704175014
2990,Amnesty,1,POINT (-73.95025262707843 40.71614118088031),-73.95025262707843,40.71614118088031
2991,Amnesty,1,POINT (-73.93319304174449 40.67597210378032),-73.93319304174449,40.67597210378032
2992,Amnesty,1,POINT (-73.89682958474197 40.671693210132744),-73.89682958474197,40.671693210132744
2993,Amnesty,2,POINT (-73.97691544255241 40.60370048693134),-73.97691544255241,40.60370048693134
2994,Amnesty,2,POINT (-73.9552179476234 40.72430362082513),-73.9552179476234,40.72430362082513
2995,Amnesty,3,POINT (-74.02075082621657 40.621712202410855),-74.02075082621657,40.621712202410855
2996,Amnesty,2,POINT (-73.92810103866722 40.639833929511205),-73.92810103866722,40.639833929511205
2997,Amnesty,1,POINT (-74.00587664639978 40.60645213879079),-74.00587664639978,40.60645213879079
2998,Amnesty,3,POINT (-73.9827881199268 40.70297750802971),-73.9827881199268,40.70297750802971
2999,Amnesty,1,POINT (-74.00069379872068 40.67552036378046),-74.00069379872068,40.67552036378046
3000,Amnesty,4,POINT (-73.91593379674946 40.61978636059225),-73.91593379674946,40.61978636059225
3001,Amnesty,3,POINT (-73.93290430592522 40.679452018680244),-73.93290430592522,40.679452018680244
3002,Amnesty,1,POINT (-73.94913930940174 40.64688217404818),-73.94913930940174,40.64688217404818
3003,Amnesty,1,POINT (-73.95142409644251 40.7305032302098),-73.95142409644251,40.7305032302098
3004,Amnesty,5,POINT (-73.99136742302338 40.67501829175672),-73.99136742302338,40.67501829175672
3005,Amnesty,2,POINT (-73.87211000428542 40.67797454852043),-73.87211000428542,40.67797454852043
3006,Amnesty,4,POINT (-74.0134092540774 40.652440460470686),-74.0134092540774,40.652440460470686
3007,Amnesty,5,POINT (-73.95870351527111 40.71274948944647),-73.95870351527111,40.71274948944647
3008,Amnesty,3,POINT (-73.88524293931238 40.677640256392934),-73.88524293931238,40.677640256392934
3009,Amnesty,2,POINT (-73.98766875863548 40.632415686306565),-73.98766875863548,40.632415686306565
3010,Amnesty,3,POINT (-73.94195115720066 40.716910638543126),-73.94195115720066,40.716910638543126
3011,Amnesty,2,POINT (-73.95104305810817 40.72764868632293),-73.95104305810817,40.72764868632293
3012,Amnesty,1,POINT (-73.92450539479458 40.63309644695205),-73.92450539479458,40.63309644695205
3013,Amnesty,3,POINT (-73.95987023004872 40.58153004508812),-73.95987023004872,40.58153004508812
3014,Amnesty,1,POINT (-73.91783544944917 40.69391933494024),-73.91783544944917,40.69391933494024
3015,Amnesty,2,POINT (-73.97055345379057 40.576412851057945),-73.97055345379057,40.576412851057945
3016,Amnesty,1,POINT (-73.98517066045301 40.67454673134727),-73.98517066045301,40.67454673134727
3017,Amnesty,5,POINT (-73.88894589221835 40.66375280935443),-73.88894589221835,40.66375280935443
3018,Amnesty,2,POINT (-73.9930888150594 40.60143966271756),-73.9930888150594,40.60143966271756
3019,Amnesty,7,POINT (-73.95183375497142 40.73186768254877),-73.95183375497142,40.73186768254877
3020,Amnesty,8,POINT (-73.98865269248046 40.68522258050956),-73.98865269248046,40.68522258050956
3021,Amnesty,1,POINT (-73.95482628369946 40.68798644842109),-73.95482628369946,40.68798644842109
3022,Amnesty,3,POINT (-73.95044258912554 40.58772890407821),-73.95044258912554,40.58772890407821
3023,Amnesty,1,POINT (-73.86674515997208 40.67746357382006),-73.86674515997208,40.67746357382006
3024,Amnesty,1,POINT (-73.96606386334284 40.58669018527457),-73.96606386334284,40.58669018527457
3025,Amnesty,1,POINT (-73.93936384858328 40.72345096749292),-73.93936384858328,40.72345096749292
3026,Amnesty,1,POINT (-73.87964445970104 40.6555609744982),-73.87964445970104,40.6555609744982
3027,Amnesty,1,POINT (-73.90078189771975 40.62782850743265),-73.90078189771975,40.62782850743265
3028,Amnesty,3,POINT (-73.98870563290313 40.68120714831673),-73.98870563290313,40.68120714831673
3029,Amnesty,1,POINT (-73.95807634374698 40.72359869217703),-73.95807634374698,40.72359869217703
3030,Amnesty,1,POINT (-73.9857527374248 40.66300168221685),-73.9857527374248,40.66300168221685
3031,Amnesty,1,POINT (-73.97718689462519 40.59516848231857),-73.97718689462519,40.59516848231857
