,Name,Latitude,Longitude,Zip_Code,Borough,geometry_layer,wkt
82,71.105.128.131 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
83,71.105.128.67 ,40.63787842,-74.07351685,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07351685 40.63787842 0)
84,71.105.202.182 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
85,71.105.202.189 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
86,71.105.250.44 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
87,71.105.250.53 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
88,71.105.7.21 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
89,71.105.90.155 ,40.62125015,-74.09773254,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09773254 40.62125015 0)
90,71.125.18.17 ,40.61106873,-74.1025238,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.1025238 40.61106873 0)
91,71.167.129.22 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
92,71.167.129.72 ,40.64411163,-74.07974243,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07974243 40.64411163 0)
93,71.167.134.238 ,40.64302826,-74.08914185,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08914185 40.64302826 0)
94,71.167.79.248 ,40.64356995,-74.07256317,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.07256317 40.64356995 0)
95,71.183.106.223 ,40.62456131,-74.10249329,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10249329 40.62456131 0)
96,71.183.106.43 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
97,71.183.117.201 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
98,71.183.117.211 ,40.63798904,-74.08590698,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08590698 40.63798904 0)
99,71.183.216.100 ,40.6277504,-74.10427094,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10427094 40.6277504 0)
100,71.183.216.134 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
101,71.183.216.83 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
102,71.190.213.249 ,40.63064957,-74.09938812,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09938812 40.63064957 0)
103,71.190.24.146 ,40.62472916,-74.09454346,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09454346 40.62472916 0)
104,71.190.24.99 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
105,71.251.10.135 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
106,71.251.10.209 ,40.63684082,-74.0840683,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.0840683 40.63684082 0)
107,71.251.10.98 ,40.63272858,-74.09506989,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.09506989 40.63272858 0)
108,71.251.22.133 ,40.64540863,-74.08085632,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08085632 40.64540863 0)
109,72.68.130.118 ,40.61376953,-74.10098267,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.10098267 40.61376953 0)
110,72.68.197.86 ,40.64540863,-74.08085632,10301.0,Staten Island,Hikvision: Staten Island,POINT Z (-74.08085632 40.64540863 0)
