,PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate,geometry
33,-ExDZ3vsNFZDT_eUs_EHDQ,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.65900093634777,-73.94542898151565,POINT (-73.94542898151565 40.65900093634777),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-ExDZ3vsNFZDT_eUs_EHDQ,2020-11,POINT (-73.94542898151565 40.65900093634777)
34,-FqFF87-03HAYIeFN2rkDQ,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.62484114481699,-73.9641426831035,POINT (-73.9641426831035 40.62484114481699),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-FqFF87-03HAYIeFN2rkDQ,2011-08,POINT (-73.9641426831035 40.62484114481699)
35,-FzcZAzGea7zqDBff0nGbw,1,0,1,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.59024032819426,-73.92242854643821,POINT (-73.92242854643821 40.59024032819426),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-FzcZAzGea7zqDBff0nGbw,2019-10,POINT (-73.92242854643821 40.59024032819426)
36,-G7-roi2UxhjRxmhf2k8dg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.71148270134069,-73.95310311443806,POINT (-73.95310311443806 40.71148270134069),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-G7-roi2UxhjRxmhf2k8dg,2020-11,POINT (-73.95310311443806 40.71148270134069)
37,-GcjOptHo93v4IkMB-JF0A,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.67273886985826,-73.93632434915496,POINT (-73.93632434915496 40.67273886985826),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-GcjOptHo93v4IkMB-JF0A,2020-11,POINT (-73.93632434915496 40.67273886985826)
38,-GfKszvj45iGfUtIJEpSHA,1,0,0,0,0,0,0,All disagree,2 vs 1,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,40.70379326184732,-73.98749900950828,POINT (-73.98749900950828 40.70379326184732),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-GfKszvj45iGfUtIJEpSHA,2019-07,POINT (-73.98749900950828 40.70379326184732)
39,-Gn6EdEMCJhbYQxK0CzpOw,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,40.59685515316478,-73.93249142820541,POINT (-73.93249142820541 40.59685515316478),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-Gn6EdEMCJhbYQxK0CzpOw,2019-10,POINT (-73.93249142820541 40.59685515316478)
40,-GzRJVTlS10YzFApibZ1eg,0,0,0,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.62043165178403,-73.93802950838082,POINT (-73.93802950838082 40.62043165178403),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-GzRJVTlS10YzFApibZ1eg,2019-10,POINT (-73.93802950838082 40.62043165178403)
41,-HKHuhWdTlqT0tuU3oprLQ,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.5837311712534,-73.94357737858746,POINT (-73.94357737858746 40.5837311712534),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-HKHuhWdTlqT0tuU3oprLQ,2019-10,POINT (-73.94357737858746 40.5837311712534)
42,-HYJs-FyeIfRID9c2J1Vgw,1,0,1,0,0,0,0,All disagree,Unanimous,All disagree,Unanimous,Unanimous,Unanimous,Unanimous,40.6627338811897,-73.957119753025,POINT (-73.957119753025 40.6627338811897),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-HYJs-FyeIfRID9c2J1Vgw,2020-11,POINT (-73.957119753025 40.6627338811897)
